"Region","year","Schools_With_Fine_Art_Programs","Number_of_Fine_Art_Classes","School_Year"
"Beverly Hills USD",1998,5,103,"1997-8"
"Beverly Hills USD",1999,5,109,"1998-9"
"Beverly Hills USD",2000,5,102,"1999-00"
"Beverly Hills USD",2001,5,98,"2000-01"
"Beverly Hills USD",2002,5,88,"2001-02"
"Beverly Hills USD",2003,5,93,"2002-03"
"Beverly Hills USD",2004,5,100,"2003-04"
"Beverly Hills USD",2005,5,84,"2004-05"
"Beverly Hills USD",2006,5,77,"2005-06"
"Beverly Hills USD",2007,5,92,"2006-07"
"Beverly Hills USD",2008,5,94,"2007-08"
"Beverly Hills USD",2009,5,91,"2008-09"
"Beverly Hills USD",2010,0,0,"2009-10"
"Beverly Hills USD",2011,7,85,"2010-11"
"Burbank USD",1998,6,88,"1997-8"
"Burbank USD",1999,5,90,"1998-9"
"Burbank USD",2000,6,89,"1999-00"
"Burbank USD",2001,6,115,"2000-01"
"Burbank USD",2002,6,119,"2001-02"
"Burbank USD",2003,7,122,"2002-03"
"Burbank USD",2004,7,116,"2003-04"
"Burbank USD",2005,7,119,"2004-05"
"Burbank USD",2006,7,124,"2005-06"
"Burbank USD",2007,7,144,"2006-07"
"Burbank USD",2008,10,140,"2007-08"
"Burbank USD",2009,10,134,"2008-09"
"Burbank USD",2010,0,0,"2009-10"
"Burbank USD",2011,8,269,"2010-11"
"Glendale USD",1998,8,199,"1997-8"
"Glendale USD",1999,8,177,"1998-9"
"Glendale USD",2000,9,198,"1999-00"
"Glendale USD",2001,9,185,"2000-01"
"Glendale USD",2002,9,185,"2001-02"
"Glendale USD",2003,9,195,"2002-03"
"Glendale USD",2004,9,187,"2003-04"
"Glendale USD",2005,9,173,"2004-05"
"Glendale USD",2006,9,170,"2005-06"
"Glendale USD",2007,9,178,"2006-07"
"Glendale USD",2008,9,176,"2007-08"
"Glendale USD",2009,9,78,"2008-09"
"Glendale USD",2010,0,0,"2009-10"
"Glendale USD",2011,10,136,"2010-11"
"Inglewood USD",1998,6,79,"1997-8"
"Inglewood USD",1999,7,61,"1998-9"
"Inglewood USD",2000,7,56,"1999-00"
"Inglewood USD",2001,6,67,"2000-01"
"Inglewood USD",2002,7,94,"2001-02"
"Inglewood USD",2003,7,101,"2002-03"
"Inglewood USD",2004,9,79,"2003-04"
"Inglewood USD",2005,9,76,"2004-05"
"Inglewood USD",2006,6,73,"2005-06"
"Inglewood USD",2007,6,61,"2006-07"
"Inglewood USD",2008,5,50,"2007-08"
"Inglewood USD",2009,7,48,"2008-09"
"Inglewood USD",2010,0,0,"2009-10"
"Inglewood USD",2011,9,78,"2010-11"
"La Canada USD",1998,1,33,"1997-8"
"La Canada USD",1999,1,34,"1998-9"
"La Canada USD",2000,1,38,"1999-00"
"La Canada USD",2001,1,39,"2000-01"
"La Canada USD",2002,1,43,"2001-02"
"La Canada USD",2003,1,41,"2002-03"
"La Canada USD",2004,1,40,"2003-04"
"La Canada USD",2005,1,37,"2004-05"
"La Canada USD",2006,1,46,"2005-06"
"La Canada USD",2007,1,44,"2006-07"
"La Canada USD",2008,2,48,"2007-08"
"La Canada USD",2009,2,50,"2008-09"
"La Canada USD",2010,0,0,"2009-10"
"La Canada USD",2011,1,35,"2010-11"
"Long Beach USD",1998,29,411,"1997-8"
"Long Beach USD",1999,28,463,"1998-9"
"Long Beach USD",2000,30,539,"1999-00"
"Long Beach USD",2001,32,542,"2000-01"
"Long Beach USD",2002,33,555,"2001-02"
"Long Beach USD",2003,36,590,"2002-03"
"Long Beach USD",2004,33,564,"2003-04"
"Long Beach USD",2005,35,594,"2004-05"
"Long Beach USD",2006,33,576,"2005-06"
"Long Beach USD",2007,34,678,"2006-07"
"Long Beach USD",2008,36,679,"2007-08"
"Long Beach USD",2009,37,646,"2008-09"
"Long Beach USD",2010,0,0,"2009-10"
"Long Beach USD",2011,38,642,"2010-11"
"Los Angeles USD",1998,169,3482,"1997-8"
"Los Angeles USD",1999,172,3705,"1998-9"
"Los Angeles USD",2000,173,3738,"1999-00"
"Los Angeles USD",2001,182,3850,"2000-01"
"Los Angeles USD",2002,249,3748,"2001-02"
"Los Angeles USD",2003,295,3744,"2002-03"
"Los Angeles USD",2004,199,4256,"2003-04"
"Los Angeles USD",2005,206,4543,"2004-05"
"Los Angeles USD",2006,210,3902,"2005-06"
"Los Angeles USD",2007,216,3971,"2006-07"
"Los Angeles USD",2008,228,4362,"2007-08"
"Los Angeles USD",2009,256,4067,"2008-09"
"Los Angeles USD",2010,0,0,"2009-10"
"Los Angeles USD",2011,300,4073,"2010-11"
"Manhattan Beach USD",1998,3,47,"1997-8"
"Manhattan Beach USD",1999,3,69,"1998-9"
"Manhattan Beach USD",2000,4,73,"1999-00"
"Manhattan Beach USD",2001,4,70,"2000-01"
"Manhattan Beach USD",2002,4,80,"2001-02"
"Manhattan Beach USD",2003,2,64,"2002-03"
"Manhattan Beach USD",2004,2,70,"2003-04"
"Manhattan Beach USD",2005,2,66,"2004-05"
"Manhattan Beach USD",2006,3,78,"2005-06"
"Manhattan Beach USD",2007,3,86,"2006-07"
"Manhattan Beach USD",2008,3,74,"2007-08"
"Manhattan Beach USD",2009,2,52,"2008-09"
"Manhattan Beach USD",2010,0,0,"2009-10"
"Manhattan Beach USD",2011,3,58,"2010-11"
"Pasadena USD",1998,12,121,"1997-8"
"Pasadena USD",1999,10,143,"1998-9"
"Pasadena USD",2000,11,144,"1999-00"
"Pasadena USD",2001,11,145,"2000-01"
"Pasadena USD",2002,13,145,"2001-02"
"Pasadena USD",2003,12,127,"2002-03"
"Pasadena USD",2004,11,121,"2003-04"
"Pasadena USD",2005,11,118,"2004-05"
"Pasadena USD",2006,11,111,"2005-06"
"Pasadena USD",2007,13,109,"2006-07"
"Pasadena USD",2008,13,109,"2007-08"
"Pasadena USD",2009,14,133,"2008-09"
"Pasadena USD",2010,0,0,"2009-10"
"Pasadena USD",2011,10,128,"2010-11"
"Santa Monica Malibu",1998,5,133,"1997-8"
"Santa Monica Malibu",1999,6,139,"1998-9"
"Santa Monica Malibu",2000,5,136,"1999-00"
"Santa Monica Malibu",2001,6,141,"2000-01"
"Santa Monica Malibu",2002,6,133,"2001-02"
"Santa Monica Malibu",2003,5,159,"2002-03"
"Santa Monica Malibu",2004,6,154,"2003-04"
"Santa Monica Malibu",2005,6,133,"2004-05"
"Santa Monica Malibu",2006,6,148,"2005-06"
"Santa Monica Malibu",2007,5,119,"2006-07"
"Santa Monica Malibu",2008,6,118,"2007-08"
"Santa Monica Malibu",2009,5,115,"2008-09"
"Santa Monica Malibu",2010,0,0,"2009-10"
"Santa Monica Malibu",2011,4,144,"2010-11"
"Alameda County",2011,132,1528,"2010-11"
"Alameda County",2009,127,1505,"2008-09"
"Alameda County",2008,133,1496,"2007-08"
"Alameda County",2007,123,1652,"2006-07"
"Alameda County",2006,114,1455,"2005-06"
"Alameda County",2005,117,1435,"2004-05"
"Alameda County",2004,107,1349,"2003-04"
"Alameda County",2003,110,1517,"2002-03"
"Alameda County",2002,115,1493,"2001-02"
"Alameda County",2001,139,1466,"2000-01"
"Alameda County",2000,160,1661,"1999-00"
"Alameda County",1999,147,1644,"1998-99"
"Alameda County",1998,129,1454,"1997-98"
"Kern County",2011,93,1179,"2010-11"
"Kern County",2009,94,1071,"2008-09"
"Kern County",2008,92,1168,"2007-08"
"Kern County",2007,85,1126,"2006-07"
"Kern County",2006,79,1094,"2005-06"
"Kern County",2005,78,1094,"2004-05"
"Kern County",2004,81,1027,"2003-04"
"Kern County",2003,79,1162,"2002-03"
"Kern County",2002,83,1196,"2001-02"
"Kern County",2001,82,1145,"2000-01"
"Kern County",2000,87,1243,"1999-00"
"Kern County",1999,86,1224,"1998-99"
"Kern County",1998,89,1156,"1997-98"
"Los Angeles County",2011,766,11224,"2010-11"
"Los Angeles County",2009,687,10050,"2008-09"
"Los Angeles County",2008,654,10590,"2007-08"
"Los Angeles County",2007,618,9956,"2006-07"
"Los Angeles County",2006,595,9781,"2005-06"
"Los Angeles County",2005,610,10371,"2004-05"
"Los Angeles County",2004,600,9981,"2003-04"
"Los Angeles County",2003,674,9504,"2002-03"
"Los Angeles County",2002,659,9675,"2001-02"
"Los Angeles County",2001,182,3220,"2000-01"
"Los Angeles County",2000,600,9623,"1999-00"
"Los Angeles County",1999,571,9228,"1998-99"
"Los Angeles County",1998,576,8828,"1997-98"
"Orange County",2011,192,3174,"2010-11"
"Orange County",2009,191,3517,"2008-09"
"Orange County",2008,190,3656,"2007-08"
"Orange County",2007,197,3550,"2006-07"
"Orange County",2006,185,3127,"2005-06"
"Orange County",2005,173,3363,"2004-05"
"Orange County",2004,180,3206,"2003-04"
"Orange County",2003,188,3448,"2002-03"
"Orange County",2002,182,3129,"2001-02"
"Orange County",2001,124,1870,"2000-01"
"Orange County",2000,201,3518,"1999-00"
"Orange County",1999,215,3354,"1998-99"
"Orange County",1998,220,3190,"1997-98"
"Riverside County",2011,172,3039,"2010-11"
"Riverside County",2009,164,2454,"2008-09"
"Riverside County",2008,157,2474,"2007-08"
"Riverside County",2007,148,2389,"2006-07"
"Riverside County",2006,143,2327,"2005-06"
"Riverside County",2005,142,2243,"2004-05"
"Riverside County",2004,135,2105,"2003-04"
"Riverside County",2003,132,2228,"2002-03"
"Riverside County",2002,127,2007,"2001-02"
"Riverside County",2001,124,1870,"2000-01"
"Riverside County",2000,166,2034,"1999-00"
"Riverside County",1999,154,1935,"1998-99"
"Riverside County",1998,141,1876,"1997-98"
"Sacramento County",2011,145,1951,"2010-11"
"Sacramento County",2009,123,1562,"2008-09"
"Sacramento County",2008,124,1574,"2007-08"
"Sacramento County",2007,119,1384,"2006-07"
"Sacramento County",2006,103,1258,"2005-06"
"Sacramento County",2005,105,1328,"2004-05"
"Sacramento County",2004,96,1310,"2003-04"
"Sacramento County",2003,89,1424,"2002-03"
"Sacramento County",2002,80,1286,"2001-02"
"Sacramento County",2001,96,1359,"2000-01"
"Sacramento County",2000,132,1498,"1999-00"
"Sacramento County",1999,110,1312,"1998-99"
"Sacramento County",1998,109,1282,"1997-98"
"San Bernandino County",2011,184,2938,"2010-11"
"San Bernandino County",2009,171,2385,"2008-09"
"San Bernandino County",2008,165,2376,"2007-08"
"San Bernandino County",2007,149,2256,"2006-07"
"San Bernandino County",2006,150,2401,"2005-06"
"San Bernandino County",2005,149,2249,"2004-05"
"San Bernandino County",2004,144,2168,"2003-04"
"San Bernandino County",2003,163,2399,"2002-03"
"San Bernandino County",2002,164,2293,"2001-02"
"San Bernandino County",2001,162,2186,"2000-01"
"San Bernandino County",2000,175,2319,"1999-00"
"San Bernandino County",1999,164,2252,"1998-99"
"San Bernandino County",1998,159,2281,"1997-98"
"San Diego County",2011,246,3221,"2010-11"
"San Diego County",2009,243,3154,"2008-09"
"San Diego County",2008,237,3502,"2007-08"
"San Diego County",2007,215,3398,"2006-07"
"San Diego County",2006,208,3206,"2005-06"
"San Diego County",2005,199,2928,"2004-05"
"San Diego County",2004,180,2729,"2003-04"
"San Diego County",2003,195,3150,"2002-03"
"San Diego County",2002,196,2869,"2001-02"
"San Diego County",2001,191,2595,"2000-01"
"San Diego County",2000,228,2637,"1999-00"
"San Diego County",1999,221,2377,"1998-99"
"San Diego County",1998,215,2417,"1997-98"
"San Francisco County",2011,46,584,"2010-11"
"San Francisco County",2009,40,600,"2008-09"
"San Francisco County",2008,46,686,"2007-08"
"San Francisco County",2007,38,534,"2006-07"
"San Francisco County",2006,39,502,"2005-06"
"San Francisco County",2005,33,406,"2004-05"
"San Francisco County",2004,31,359,"2003-04"
"San Francisco County",2003,33,372,"2002-03"
"San Francisco County",2002,31,382,"2001-02"
"San Francisco County",2001,35,459,"2000-01"
"San Francisco County",2000,36,436,"1999-00"
"San Francisco County",1999,36,370,"1998-99"
"San Francisco County",1998,36,517,"1997-98"
"State of California",2011,3162,45400,"2010-11"
"State of California",2009,3242,41768,"2008-09"
"State of California",2008,3189,43110,"2007-08"
"State of California",2007,2952,41643,"2006-07"
"State of California",2006,2851,40215,"2005-06"
"State of California",2005,2806,40339,"2004-05"
"State of California",2004,2766,38996,"2003-04"
"State of California",2003,2930,41086,"2002-03"
"State of California",2002,2881,39797,"2001-02"
"State of California",2001,2903,39414,"2000-01"
"State of California",2000,3261,41721,"1999-00"
"State of California",1999,3108,40058,"1998-99"
"State of California",1998,3053,38672,"1997-98"
"Ventura County",2011,83,839,"2010-11"
"Ventura County",2009,75,816,"2008-09"
"Ventura County",2008,69,828,"2007-08"
"Ventura County",2007,64,794,"2006-07"
"Ventura County",2006,62,797,"2005-06"
"Ventura County",2005,60,783,"2004-05"
"Ventura County",2004,62,762,"2003-04"
"Ventura County",2003,62,748,"2002-03"
"Ventura County",2002,53,661,"2001-02"
"Ventura County",2001,57,649,"2000-01"
"Ventura County",2000,61,669,"1999-00"
"Ventura County",1999,61,665,"1998-99"
"Ventura County",1998,58,614,"1997-98"
