STATE","OCC_TITLE","TOT_EMP","H_MEAN"
"state":"Alabama","Writers and Authors","220","28.87"
"state":"Alaska","Writers and Authors","110","29.83"
"state":"Alaska","Dancers","70","14.12"
"state":"Arizona","Writers and Authors","540","26.01"
"state":"Arizona","Dancers","100","17.34"
"state":"Arkansas","Writers and Authors","150","26.17"
"state":"California","Writers and Authors","6500","45.05"
"state":"California","Dancers","2010","14.26"
"state":"Colorado","Writers and Authors","560","33.18"
"state":"Colorado","Dancers","**","15.86"
"state":"Connecticut","Writers and Authors","380","30.67"
"state":"Connecticut","Dancers","60","16.46"
"state":"Delaware","Writers and Authors","100","29.71"
"state":"District of Columbia","Writers and Authors","1350","41.49"
"state":"District of Columbia","Dancers","110","25.10"
"state":"Florida","Writers and Authors","1720","24.96"
"state":"Florida","Dancers","350","15.93"
"state":"Georgia","Writers and Authors","660","28.90"
"state":"Georgia","Dancers","40","17.97"
"state":"Hawaii","Writers and Authors","150","27.63"
"state":"Hawaii","Dancers","750","16.84"
"state":"Idaho","Writers and Authors","150","22.02"
"state":"Illinois","Writers and Authors","1870","29.62"
"state":"Illinois","Dancers","310","12.81"
"state":"Indiana","Writers and Authors","630","19.56"
"state":"Indiana","Dancers","300","8.63"
"state":"Iowa","Writers and Authors","370","20.54"
"state":"Iowa","Dancers","**","16.90"
"state":"Kansas","Writers and Authors","290","24.77"
"state":"Kentucky","Writers and Authors","220","19.88"
"state":"Kentucky","Dancers","**","12.10"
"state":"Louisiana","Writers and Authors","250","19.45"
"state":"Maine","Writers and Authors","110","27.65"
"state":"Maryland","Writers and Authors","900","35.35"
"state":"Maryland","Dancers","**","13.23"
"state":"Massachusetts","Writers and Authors","960","31.70"
"state":"Massachusetts","Dancers","**","16.91"
"state":"Michigan","Writers and Authors","760","23.34"
"state":"Michigan","Dancers","70","11.38"
"state":"Minnesota","Writers and Authors","1340","25.69"
"state":"Mississippi","Writers and Authors","280","23.57"
"state":"Missouri","Writers and Authors","740","27.66"
"state":"Missouri","Dancers","280","13.56"
"state":"Montana","Writers and Authors","90","17.15"
"state":"Nebraska","Writers and Authors","280","22.93"
"state":"Nevada","Writers and Authors","390","30.31"
"state":"Nevada","Dancers","840","29.39"
"state":"New Hampshire","Writers and Authors","240","24.65"
"state":"New Jersey","Writers and Authors","1070","27.63"
"state":"New Jersey","Dancers","130","14.46"
"state":"New Mexico","Writers and Authors","160","23.15"
"state":"New York","Writers and Authors","6500","41.95"
"state":"New York","Dancers","2260","*"
"state":"North Carolina","Writers and Authors","620","27.23"
"state":"North Carolina","Dancers","120","*"
"state":"North Dakota","Writers and Authors","110","15.07"
"state":"Ohio","Writers and Authors","1050","27.80"
"state":"Ohio","Dancers","260","14.82"
"state":"Oklahoma","Writers and Authors","340","16.98"
"state":"Oklahoma","Dancers","70","15.88"
"state":"Oregon","Writers and Authors","630","27.10"
"state":"Oregon","Dancers","100","22.18"
"state":"Pennsylvania","Writers and Authors","1470","28.73"
"state":"Pennsylvania","Dancers","260","14.83"
"state":"Rhode Island","Writers and Authors","130","29.40"
"state":"South Carolina","Writers and Authors","160","24.62"
"state":"South Carolina","Dancers","100","16.86"
"state":"South Dakota","Writers and Authors","40","18.94"
"state":"Tennessee","Writers and Authors","580","18.96"
"state":"Tennessee","Dancers","190","14.38"
"state":"Texas","Writers and Authors","1970","26.44"
"state":"Texas","Dancers","340","20.02"
"state":"Utah","Writers and Authors","250","20.34"
"state":"Utah","Dancers","250","16.82"
"state":"Vermont","Writers and Authors","160","23.44"
"state":"Virginia","Writers and Authors","1640","29.99"
"state":"Virginia","Dancers","140","17.59"
"state":"Washington","Writers and Authors","870","33.99"
"state":"West Virginia","Writers and Authors","160","16.81"
"state":"Wisconsin","Writers and Authors","660","24.73"
"state":"Wisconsin","Dancers","70","17.60"
"state":"Wyoming","Writers and Authors","30","24.56"